service_id,date,exception_type
260629-MULTI-Holiday1-01,20260701,1
260629-MULTI-Saturday-01,20260704,1
260629-MULTI-Saturday-01,20260711,1
260629-MULTI-Saturday-01,20260718,1
260629-MULTI-Saturday-01,20260725,1
260629-MULTI-Saturday-01,20260801,1
260629-MULTI-Sunday-04,20260705,1
260629-MULTI-Sunday-04,20260712,1
260629-MULTI-Sunday-04,20260719,1
260629-MULTI-Sunday-04,20260726,1
260629-MULTI-Sunday-04,20260802,1
260629-MULTI-Weekday-01,20260629,1
260629-MULTI-Weekday-01,20260630,1
260629-MULTI-Weekday-01,20260702,1
260629-MULTI-Weekday-01,20260703,1
260629-MULTI-Weekday-01,20260706,1
260629-MULTI-Weekday-01,20260707,1
260629-MULTI-Weekday-01,20260708,1
260629-MULTI-Weekday-01,20260709,1
260629-MULTI-Weekday-01,20260710,1
260629-MULTI-Weekday-01,20260713,1
260629-MULTI-Weekday-01,20260714,1
260629-MULTI-Weekday-01,20260715,1
260629-MULTI-Weekday-01,20260716,1
260629-MULTI-Weekday-01,20260717,1
260629-MULTI-Weekday-01,20260720,1
260629-MULTI-Weekday-01,20260721,1
260629-MULTI-Weekday-01,20260722,1
260629-MULTI-Weekday-01,20260723,1
260629-MULTI-Weekday-01,20260724,1
260629-MULTI-Weekday-01,20260727,1
260629-MULTI-Weekday-01,20260728,1
260629-MULTI-Weekday-01,20260729,1
260629-MULTI-Weekday-01,20260730,1
260629-MULTI-Weekday-01,20260731,1
260803-MULTI-Holiday1-01-1111111,20260803,1
260803-MULTI-Saturday-01,20260808,1
260803-MULTI-Saturday-01,20260815,1
260803-MULTI-Saturday-01,20260822,1
260803-MULTI-Saturday-01,20260829,1
260803-MULTI-Saturday-01,20260905,1
260803-MULTI-Sunday-01,20260809,1
260803-MULTI-Sunday-01,20260816,1
260803-MULTI-Sunday-01,20260823,1
260803-MULTI-Sunday-01,20260830,1
260803-MULTI-Sunday-01,20260906,1
260803-MULTI-Weekday-01,20260804,1
260803-MULTI-Weekday-01,20260805,1
260803-MULTI-Weekday-01,20260806,1
260803-MULTI-Weekday-01,20260807,1
260803-MULTI-Weekday-01,20260810,1
260803-MULTI-Weekday-01,20260811,1
260803-MULTI-Weekday-01,20260812,1
260803-MULTI-Weekday-01,20260813,1
260803-MULTI-Weekday-01,20260814,1
260803-MULTI-Weekday-01,20260817,1
260803-MULTI-Weekday-01,20260818,1
260803-MULTI-Weekday-01,20260819,1
260803-MULTI-Weekday-01,20260820,1
260803-MULTI-Weekday-01,20260821,1
260803-MULTI-Weekday-01,20260824,1
260803-MULTI-Weekday-01,20260825,1
260803-MULTI-Weekday-01,20260826,1
260803-MULTI-Weekday-01,20260827,1
260803-MULTI-Weekday-01,20260828,1
260803-MULTI-Weekday-01,20260831,1
260803-MULTI-Weekday-01,20260901,1
260803-MULTI-Weekday-01,20260902,1
260803-MULTI-Weekday-01,20260903,1
260803-MULTI-Weekday-01,20260904,1
