shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10221,43.686702,-79.762946,10001
10221,43.686702,-79.762946,10002
10221,43.686702,-79.762946,20001
10221,43.686631,-79.763040,20002
10221,43.686292,-79.762584,20003
10221,43.686645,-79.762192,20004
10221,43.686802,-79.762017,20005
10221,43.686975,-79.761836,20006
10221,43.687155,-79.761647,20007
10221,43.687247,-79.761465,20008
10221,43.687291,-79.761350,20009
10221,43.687329,-79.761239,20010
10221,43.687406,-79.760782,20011
10221,43.687476,-79.760377,20012
10221,43.687517,-79.760119,20013
10221,43.687519,-79.759883,20014
10221,43.687477,-79.759632,20015
10221,43.687400,-79.759430,20016
10221,43.687333,-79.759286,20017
10221,43.687035,-79.758700,20018
10221,43.687357,-79.758349,20019
10221,43.687459,-79.758237,20020
10221,43.687459,-79.758237,30001
10221,43.688304,-79.757313,30002
10221,43.688540,-79.757056,30003
10221,43.689195,-79.756339,30004
10221,43.689195,-79.756339,40001
10221,43.689315,-79.756208,40002
10221,43.689604,-79.755896,40003
10221,43.690296,-79.755151,40004
10221,43.690777,-79.754762,40005
10221,43.691022,-79.754565,40006
10221,43.691048,-79.754536,40007
10221,43.691048,-79.754536,50001
10221,43.691819,-79.753678,50002
10221,43.692061,-79.753409,50003
10221,43.692764,-79.752661,50004
10221,43.692764,-79.752661,60001
10221,43.692837,-79.752582,60002
10221,43.693532,-79.751821,60003
10221,43.693532,-79.751821,70001
10221,43.693722,-79.751611,70002
10221,43.694040,-79.751259,70003
10221,43.694639,-79.750602,70004
10221,43.695410,-79.749760,70005
10221,43.695633,-79.749485,70006
10221,43.696055,-79.749011,70007
10221,43.696055,-79.749011,80001
10221,43.697382,-79.747520,80002
10221,43.697382,-79.747520,90001
10221,43.698853,-79.745869,90002
10221,43.699122,-79.745561,90003
10221,43.699122,-79.745561,100001
10221,43.699975,-79.744587,100002
10221,43.699975,-79.744587,110001
10221,43.700653,-79.743811,110002
10221,43.701566,-79.742821,110003
10221,43.701566,-79.742821,120001
10221,43.701810,-79.742557,120002
10221,43.703285,-79.740883,120003
10221,43.703285,-79.740883,130001
10221,43.703556,-79.740576,130002
10221,43.704506,-79.739522,130003
10221,43.705220,-79.738732,130004
10221,43.705404,-79.738525,130005
10221,43.705433,-79.738491,130006
10221,43.705712,-79.738177,130007
10221,43.705891,-79.737976,130008
10221,43.706674,-79.737097,130009
10221,43.708217,-79.735395,130010
10221,43.709038,-79.734469,130011
10221,43.708183,-79.733172,130012
10221,43.708183,-79.733172,140001
10221,43.707940,-79.732805,140002
10221,43.707408,-79.732025,140003
10221,43.705712,-79.729525,140004
10221,43.705712,-79.729525,150001
10221,43.704347,-79.727514,150002
10221,43.704767,-79.727049,150003
10221,43.704767,-79.727049,160001
10221,43.706019,-79.725667,160002
10221,43.706507,-79.725158,160003
10221,43.706507,-79.725158,170001
10221,43.706633,-79.725028,170002
10221,43.706912,-79.724845,170003
10221,43.707133,-79.724745,170004
10221,43.707277,-79.724684,170005
10221,43.707516,-79.724640,170006
10221,43.707832,-79.724595,170007
10221,43.708894,-79.724385,170008
10221,43.709260,-79.724184,170009
10221,43.709260,-79.724184,180001
10221,43.709509,-79.724048,180002
10221,43.709779,-79.723833,180003
10221,43.710740,-79.722624,180004
10221,43.711258,-79.721897,180005
10221,43.711510,-79.721611,180006
10221,43.711510,-79.721611,190001
10221,43.711648,-79.721454,190002
10221,43.711958,-79.721178,190003
10221,43.712360,-79.720820,190004
10221,43.712855,-79.720461,190005
10221,43.713271,-79.720218,190006
10221,43.713271,-79.720218,200001
10221,43.713306,-79.720198,200002
10221,43.713684,-79.719965,200003
10221,43.713775,-79.719905,200004
10221,43.714489,-79.719428,200005
10221,43.714913,-79.719107,200006
10221,43.715241,-79.718734,200007
10221,43.715513,-79.718335,200008
10221,43.715645,-79.718100,200009
10221,43.715645,-79.718100,210001
10221,43.715693,-79.718012,210002
10221,43.716464,-79.715746,210003
10221,43.716705,-79.715439,210004
10221,43.717314,-79.716445,210005
10221,43.717314,-79.716445,220001
10221,43.717893,-79.717404,220002
10221,43.717493,-79.717839,220003
10221,43.717493,-79.717839,230001
10221,43.716935,-79.718447,230002
10221,43.717617,-79.719612,230003
10221,43.717617,-79.719612,240001
10221,43.718384,-79.720920,240002
10221,43.718596,-79.720680,240003
10221,43.718633,-79.720739,240004
10221,43.718690,-79.720830,240005
10221,43.718830,-79.721071,240006
10221,43.719341,-79.720505,240007
10221,43.719325,-79.720475,240008
10221,43.719208,-79.720269,240009
10221,43.718739,-79.720777,240010
10221,43.718739,-79.720777,250001
10221,43.718739,-79.720777,250002
10221,43.718739,-79.720777,260001
10221,43.718690,-79.720830,260002
10221,43.718830,-79.721071,260003
10221,43.718941,-79.721282,260004
10221,43.719563,-79.720575,260005
10221,43.719733,-79.720598,260006
10221,43.719532,-79.720249,260007
10221,43.719292,-79.719832,260008
10221,43.717893,-79.717404,260009
10221,43.719148,-79.716026,260010
10221,43.719218,-79.715975,260011
10221,43.719218,-79.715975,270001
10221,43.720263,-79.715213,270002
10221,43.720824,-79.714673,270003
10221,43.721094,-79.714316,270004
10221,43.721094,-79.714316,280001
10221,43.721607,-79.713635,280002
