route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
51,260302-MULTI-Weekday-01,24965039,51 HEREFORD EAST,0,1201824,510036,1,1
9,260302-MULTI-Weekday-01,24965040,9 VODDEN EAST,0,1203447,90032,1,1
60,260302-MULTI-Weekday-01,24965041,60 MISSISSAUGA ROAD SOUTH,1,1201913,600010,1,1
30,260302-MULTI-Weekday-01,24965042,30 AIRPORT ROAD NORTH,0,1201957,300088,1,1
30,260302-MULTI-Weekday-01,24965043,30 AIRPORT ROAD NORTH,0,1201959,300088,1,1
51,260302-MULTI-Weekday-01,24965044,51 HEREFORD WEST,1,1201824,510037,1,1
23,260302-MULTI-Weekday-01,24965045,23 SANDALWOOD EAST,0,1201947,230129,1,1
23,260302-MULTI-Weekday-01,24965046,23 SANDALWOOD WEST,1,1201949,230127,1,1
60,260302-MULTI-Weekday-01,24965047,60 MISSISSAUGA ROAD NORTH,0,1201913,600006,1,1
18,260302-MULTI-Weekday-01,24965048,18 DIXIE NORTH,0,1201620,180234,1,1
18,260302-MULTI-Weekday-01,24965049,18 DIXIE NORTH,0,1201624,180234,1,1
18,260302-MULTI-Weekday-01,24965050,18 DIXIE NORTH,0,1201628,180234,1,1
18,260302-MULTI-Weekday-01,24965051,18 DIXIE NORTH,0,1201629,180234,1,1
18,260302-MULTI-Weekday-01,24965052,18 DIXIE NORTH,0,1201630,180234,1,1
18,260302-MULTI-Weekday-01,24965053,18 DIXIE NORTH,0,1201625,180235,1,1
18,260302-MULTI-Weekday-01,24965054,18 DIXIE SOUTH,1,1201619,180203,1,1
18,260302-MULTI-Weekday-01,24965055,18 DIXIE SOUTH,1,1201621,180203,1,1
18,260302-MULTI-Weekday-01,24965056,18 DIXIE SOUTH,1,1201623,180203,1,1
18,260302-MULTI-Weekday-01,24965057,18 DIXIE SOUTH,1,1201617,180223,1,1
56,260302-MULTI-Weekday-01,24965058,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965059,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965060,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965061,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965062,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965063,56 KINGKNOLL LOOP,1,1201858,560029,1,1
9,260302-MULTI-Weekday-01,24965064,9 VODDEN WEST,1,1203447,90034,1,1
56,260302-MULTI-Weekday-01,24965065,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965066,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965067,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965068,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965069,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965070,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965071,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965072,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965073,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965074,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965075,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965076,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965077,56 KINGKNOLL LOOP,1,1201858,560029,1,1
56,260302-MULTI-Weekday-01,24965078,56 KINGKNOLL LOOP,1,1201858,560029,1,1
8,260302-MULTI-Weekday-01,24965079,8 CENTRE EAST,0,1201877,80041,1,1
8,260302-MULTI-Weekday-01,24965080,8 CENTRE WEST,1,1201878,80040,1,1
56,260302-MULTI-Weekday-01,24965081,56 KINGKNOLL LOOP,1,1201858,560029,1,1
29,260302-MULTI-Weekday-01,24965082,29A WILLIAMS EAST,0,1202847,290066,1,1
23,260302-MULTI-Weekday-01,24965083,23 SANDALWOOD EAST,0,1201948,230129,1,1
29,260302-MULTI-Weekday-01,24965084,29A WILLIAMS EAST,0,1202846,290066,1,1
29,260302-MULTI-Weekday-01,24965085,29A WILLIAMS WEST,1,1202846,290065,1,1
30,260302-MULTI-Weekday-01,24965086,30 AIRPORT ROAD NORTH,0,1201952,300086,1,1
30,260302-MULTI-Weekday-01,24965087,30 AIRPORT ROAD SOUTH,1,1201965,300089,1,1
30,260302-MULTI-Weekday-01,24965088,30 AIRPORT ROAD SOUTH,1,1201960,300083,1,1
30,260302-MULTI-Weekday-01,24965089,30 AIRPORT ROAD SOUTH,1,1201952,300083,1,1
30,260302-MULTI-Weekday-01,24965090,30 AIRPORT ROAD NORTH,0,1201957,300086,1,1
